shipment_id,order_id,shipped_date_sk,delivered_date_sk,carrier,status,lead_time_days,province_sk
9000000133,1000000133,20240614,20240615,PICKUP,DELIVERED,1.0,2
9000000134,1000000134,20240106,20240107,PICKUP,DELIVERED,1.0,4
9000000135,1000000135,20240530,20240531,PICKUP,SHIPPED,1.0,3
9000000136,1000000136,20250121,20250125,Correo Argentino,DELIVERED,4.0,1
9000000137,1000000137,20241116,20241121,Correo Argentino,SHIPPED,5.0,2
9000000138,1000000138,20240104,20240108,Correo Argentino,SHIPPED,4.0,1
9000000139,1000000139,20240407,20240412,Correo Argentino,DELIVERED,5.0,4
9000000140,1000000140,20250217,20250218,PICKUP,DELIVERED,1.0,4
9000000141,1000000141,20241130,20241201,PICKUP,DELIVERED,1.0,1
9000000142,1000000142,20250626,20250628,Correo Argentino,DELIVERED,2.0,1
9000000143,1000000143,20240606,20240607,PICKUP,DELIVERED,1.0,1
9000000144,1000000144,,,PICKUP,CANCELLED,,1
9000000145,1000000145,20250720,20250724,Correo Argentino,DELIVERED,4.0,2
9000000146,1000000146,20240506,20240511,Correo Argentino,DELIVERED,5.0,1
9000000147,1000000147,20241208,20241213,Correo Argentino,DELIVERED,5.0,1
9000000148,1000000148,20250622,20250625,Correo Argentino,DELIVERED,3.0,1
9000000149,1000000149,20250122,20250127,Correo Argentino,DELIVERED,5.0,1
9000000150,1000000150,20250530,20250531,PICKUP,DELIVERED,1.0,3
9000000151,1000000151,20240416,20240417,PICKUP,DELIVERED,1.0,4
9000000152,1000000152,20240108,20240109,PICKUP,DELIVERED,1.0,2
9000000153,1000000153,,,PICKUP,CANCELLED,,2
9000000154,1000000154,20240701,20240702,PICKUP,SHIPPED,1.0,1
9000000155,1000000155,20240213,20240217,Correo Argentino,DELIVERED,4.0,2
9000000156,1000000156,20241029,20241030,PICKUP,DELIVERED,1.0,2
9000000157,1000000157,,,PICKUP,CANCELLED,,4
9000000158,1000000158,20240424,20240425,PICKUP,DELIVERED,1.0,1
9000000159,1000000159,20240715,20240720,Correo Argentino,DELIVERED,5.0,1
9000000160,1000000160,20240613,20240614,PICKUP,DELIVERED,1.0,3
9000000161,1000000161,20241022,20241026,Correo Argentino,DELIVERED,4.0,2
9000000162,1000000162,20250731,20250801,PICKUP,SHIPPED,1.0,3
9000000163,1000000163,20240225,20240229,Correo Argentino,DELIVERED,4.0,1
9000000164,1000000164,20250223,20250225,Correo Argentino,DELIVERED,2.0,2
9000000165,1000000165,20250828,20250901,Correo Argentino,DELIVERED,4.0,1
9000000166,1000000166,20250728,20250730,Correo Argentino,DELIVERED,2.0,2
9000000167,1000000167,,,Correo Argentino,CANCELLED,,3
9000000168,1000000168,,,Correo Argentino,CANCELLED,,1
9000000169,1000000169,20240709,20240714,Correo Argentino,DELIVERED,5.0,1
9000000170,1000000170,20240329,20240330,PICKUP,SHIPPED,1.0,3
9000000171,1000000171,20250228,20250303,Correo Argentino,READY,3.0,1
9000000172,1000000172,20240508,20240512,Correo Argentino,DELIVERED,4.0,1
9000000173,1000000173,20250617,20250622,Correo Argentino,DELIVERED,5.0,1
9000000174,1000000174,20240907,20240908,PICKUP,DELIVERED,1.0,2
9000000175,1000000175,20240601,20240604,Correo Argentino,SHIPPED,3.0,1
9000000176,1000000176,20250225,20250226,PICKUP,DELIVERED,1.0,2
9000000177,1000000177,20241124,20241127,Correo Argentino,DELIVERED,3.0,1
9000000178,1000000178,20250503,20250504,PICKUP,SHIPPED,1.0,2
9000000179,1000000179,20250813,20250816,Correo Argentino,DELIVERED,3.0,2
9000000180,1000000180,20240522,20240524,Correo Argentino,DELIVERED,2.0,1
9000000181,1000000181,20241113,20241115,Correo Argentino,DELIVERED,2.0,4
9000000182,1000000182,20240909,20240916,Correo Argentino,DELIVERED,7.0,3
9000000183,1000000183,20241026,20241027,PICKUP,SHIPPED,1.0,1
9000000184,1000000184,20250511,20250512,PICKUP,SHIPPED,1.0,2
9000000185,1000000185,20240719,20240724,Correo Argentino,DELIVERED,5.0,1
9000000186,1000000186,20240731,20240802,Correo Argentino,DELIVERED,2.0,2
9000000187,1000000187,20250212,20250213,PICKUP,DELIVERED,1.0,1
9000000188,1000000188,20250823,20250824,PICKUP,DELIVERED,1.0,4
9000000189,1000000189,20240503,20240505,Correo Argentino,SHIPPED,2.0,2
9000000190,1000000190,20240606,20240611,Correo Argentino,SHIPPED,5.0,3
9000000191,1000000191,,,Correo Argentino,CANCELLED,,1
9000000192,1000000192,20240308,20240309,PICKUP,SHIPPED,1.0,2
9000000193,1000000193,20240216,20240219,Correo Argentino,DELIVERED,3.0,1
9000000194,1000000194,20250914,20250919,Correo Argentino,DELIVERED,5.0,1
9000000195,1000000195,20250301,20250305,Correo Argentino,DELIVERED,4.0,1
9000000196,1000000196,20250815,20250817,Correo Argentino,DELIVERED,2.0,2
9000000197,1000000197,20240410,20240412,Correo Argentino,DELIVERED,2.0,2
9000000198,1000000198,20240204,20240207,Correo Argentino,DELIVERED,3.0,1
9000000199,1000000199,20250320,20250325,Correo Argentino,DELIVERED,5.0,2
9000000200,1000000200,20240926,20240929,Correo Argentino,DELIVERED,3.0,4
9000000201,1000000201,20241117,20241120,Correo Argentino,DELIVERED,3.0,1
9000000202,1000000202,20250327,20250328,PICKUP,DELIVERED,1.0,4
9000000203,1000000203,20241117,20241118,PICKUP,DELIVERED,1.0,4
9000000204,1000000204,,,Correo Argentino,CANCELLED,,1
9000000205,1000000205,20241001,20241005,Correo Argentino,DELIVERED,4.0,1
9000000206,1000000206,20250727,20250731,Correo Argentino,SHIPPED,4.0,2
9000000207,1000000207,20250508,20250510,Correo Argentino,DELIVERED,2.0,1
9000000208,1000000208,20250411,20250412,PICKUP,DELIVERED,1.0,2
9000000209,1000000209,20250404,20250406,Correo Argentino,DELIVERED,2.0,1
9000000210,1000000210,20250321,20250323,Correo Argentino,DELIVERED,2.0,4
9000000211,1000000211,20250719,20250720,PICKUP,DELIVERED,1.0,1
9000000212,1000000212,20250219,20250223,Correo Argentino,DELIVERED,4.0,1
9000000213,1000000213,20240417,20240420,Correo Argentino,DELIVERED,3.0,4
9000000214,1000000214,20240720,20240722,Correo Argentino,DELIVERED,2.0,1
9000000215,1000000215,20240130,20240203,Correo Argentino,DELIVERED,4.0,1
9000000216,1000000216,20250511,20250516,Correo Argentino,DELIVERED,5.0,1
9000000217,1000000217,20240405,20240406,PICKUP,DELIVERED,1.0,2
9000000218,1000000218,20240705,20240709,Correo Argentino,DELIVERED,4.0,1
9000000219,1000000219,20240612,20240613,PICKUP,SHIPPED,1.0,2
9000000220,1000000220,20250922,20250926,Correo Argentino,DELIVERED,4.0,2
9000000221,1000000221,20250507,20250508,PICKUP,DELIVERED,1.0,1
9000000222,1000000222,20240830,20240831,PICKUP,DELIVERED,1.0,2
9000000223,1000000223,20241224,20241225,PICKUP,SHIPPED,1.0,1
9000000224,1000000224,20250323,20250325,Correo Argentino,DELIVERED,2.0,1
9000000225,1000000225,20250806,20250810,Correo Argentino,DELIVERED,4.0,1
9000000226,1000000226,20240717,20240722,Correo Argentino,DELIVERED,5.0,1
9000000227,1000000227,20240718,20240720,Correo Argentino,DELIVERED,2.0,1
9000000228,1000000228,20250328,20250401,Correo Argentino,DELIVERED,4.0,4
9000000229,1000000229,,,PICKUP,CANCELLED,,2
9000000230,1000000230,20241230,20250104,Correo Argentino,DELIVERED,5.0,1
9000000231,1000000231,20240609,20240611,Correo Argentino,SHIPPED,2.0,1
9000000232,1000000232,20250222,20250226,Correo Argentino,SHIPPED,4.0,1
9000000233,1000000233,20241120,20241122,Correo Argentino,DELIVERED,2.0,1
9000000234,1000000234,20250529,20250603,Correo Argentino,DELIVERED,5.0,2
9000000235,1000000235,,,PICKUP,CANCELLED,,2
9000000236,1000000236,20250104,20250105,PICKUP,DELIVERED,1.0,1
9000000237,1000000237,20241114,20241115,PICKUP,DELIVERED,1.0,1
9000000238,1000000238,20250322,20250323,PICKUP,SHIPPED,1.0,2
9000000239,1000000239,20240221,20240226,Correo Argentino,DELIVERED,5.0,1
9000000240,1000000240,20241021,20241026,Correo Argentino,DELIVERED,5.0,4
9000000241,1000000241,20241011,20241012,PICKUP,DELIVERED,1.0,1
9000000242,1000000242,,,Correo Argentino,CANCELLED,,1
9000000243,1000000243,20250609,20250613,Correo Argentino,DELIVERED,4.0,3
9000000244,1000000244,20240913,20240914,PICKUP,DELIVERED,1.0,1
9000000245,1000000245,20250508,20250509,PICKUP,DELIVERED,1.0,1
9000000246,1000000246,,,Correo Argentino,CANCELLED,,2
9000000247,1000000247,20241203,20241208,Correo Argentino,DELIVERED,5.0,1
9000000248,1000000248,20241026,20241027,PICKUP,DELIVERED,1.0,3
9000000249,1000000249,20240419,20240420,PICKUP,DELIVERED,1.0,4
9000000250,1000000250,20240922,20240926,Correo Argentino,DELIVERED,4.0,3
9000000251,1000000251,20240315,20240316,PICKUP,DELIVERED,1.0,4
9000000252,1000000252,20240302,20240303,PICKUP,DELIVERED,1.0,1
9000000253,1000000253,20250424,20250429,Correo Argentino,DELIVERED,5.0,1
9000000254,1000000254,20241013,20241014,PICKUP,DELIVERED,1.0,2
9000000255,1000000255,20240814,20240818,Correo Argentino,DELIVERED,4.0,2
9000000256,1000000256,20241002,20241006,Correo Argentino,DELIVERED,4.0,4
9000000257,1000000257,20250530,20250531,PICKUP,DELIVERED,1.0,1
9000000258,1000000258,20241227,20241229,Correo Argentino,DELIVERED,2.0,2
9000000259,1000000259,20250905,20250908,Correo Argentino,DELIVERED,3.0,1
9000000260,1000000260,20241213,20241216,Correo Argentino,DELIVERED,3.0,2
9000000261,1000000261,20250815,20250817,Correo Argentino,DELIVERED,2.0,2
9000000262,1000000262,20241119,20241124,Correo Argentino,DELIVERED,5.0,3
9000000263,1000000263,20250101,20250104,Correo Argentino,SHIPPED,3.0,1
9000000264,1000000264,20250819,20250820,PICKUP,SHIPPED,1.0,2
9000000265,1000000265,20240428,20240503,Correo Argentino,DELIVERED,5.0,1
9000000266,1000000266,20250508,20250510,Correo Argentino,DELIVERED,2.0,1
9000000267,1000000267,20240301,20240305,Correo Argentino,DELIVERED,4.0,1
9000000268,1000000268,,,Correo Argentino,CANCELLED,,1
9000000269,1000000269,,,Correo Argentino,CANCELLED,,3
9000000270,1000000270,20240216,20240217,PICKUP,DELIVERED,1.0,1
9000000271,1000000271,20240213,20240218,Correo Argentino,DELIVERED,5.0,1
9000000272,1000000272,20241026,20241031,Correo Argentino,DELIVERED,5.0,1
9000000273,1000000273,20240302,20240304,Correo Argentino,DELIVERED,2.0,1
9000000274,1000000274,20240928,20240929,PICKUP,DELIVERED,1.0,1
9000000275,1000000275,20240622,20240626,Correo Argentino,DELIVERED,4.0,1
9000000276,1000000276,20250526,20250527,PICKUP,SHIPPED,1.0,3
9000000277,1000000277,20241014,20241015,PICKUP,DELIVERED,1.0,1
9000000278,1000000278,20250305,20250310,Correo Argentino,DELIVERED,5.0,1
9000000279,1000000279,,,Correo Argentino,CANCELLED,,4
9000000280,1000000280,20240720,20240721,PICKUP,DELIVERED,1.0,1
9000000281,1000000281,20250312,20250316,Correo Argentino,DELIVERED,4.0,1
9000000282,1000000282,20241229,20250101,Correo Argentino,DELIVERED,3.0,2
9000000283,1000000283,20250722,20250726,Correo Argentino,DELIVERED,4.0,2
9000000284,1000000284,20240309,20240310,PICKUP,DELIVERED,1.0,2
9000000285,1000000285,,,Correo Argentino,CANCELLED,,1
9000000286,1000000286,20240712,20240715,Correo Argentino,DELIVERED,3.0,1
9000000287,1000000287,20250617,20250618,PICKUP,SHIPPED,1.0,1
9000000288,1000000288,20250201,20250202,PICKUP,SHIPPED,1.0,1
9000000289,1000000289,,,Correo Argentino,CANCELLED,,1
9000000290,1000000290,20241105,20241109,Correo Argentino,DELIVERED,4.0,3
9000000291,1000000291,20241018,20241024,Correo Argentino,SHIPPED,6.0,3
9000000292,1000000292,20250429,20250430,PICKUP,SHIPPED,1.0,3
9000000293,1000000293,20250822,20250826,Correo Argentino,SHIPPED,4.0,1
9000000294,1000000294,,,Correo Argentino,CANCELLED,,2
9000000295,1000000295,20250327,20250328,PICKUP,DELIVERED,1.0,3
9000000296,1000000296,20240628,20240629,PICKUP,SHIPPED,1.0,2
9000000297,1000000297,20250811,20250812,PICKUP,DELIVERED,1.0,1
9000000298,1000000298,20241104,20241105,PICKUP,DELIVERED,1.0,1
9000000299,1000000299,20240506,20240507,PICKUP,DELIVERED,1.0,4
9000000300,1000000300,20241120,20241122,Correo Argentino,DELIVERED,2.0,1
9000000301,1000000301,20240507,20240512,Correo Argentino,SHIPPED,5.0,3
9000000302,1000000302,,,Correo Argentino,CANCELLED,,1
9000000303,1000000303,20240316,20240317,PICKUP,SHIPPED,1.0,4
9000000304,1000000304,20240316,20240320,Correo Argentino,DELIVERED,4.0,4
9000000305,1000000305,20250414,20250418,Correo Argentino,DELIVERED,4.0,1
9000000306,1000000306,20240430,20240503,Correo Argentino,DELIVERED,3.0,1
9000000307,1000000307,20240913,20240918,Correo Argentino,DELIVERED,5.0,1
9000000308,1000000308,20240328,20240331,Correo Argentino,SHIPPED,3.0,2
9000000309,1000000309,,,PICKUP,CANCELLED,,1
9000000310,1000000310,20250105,20250107,Correo Argentino,DELIVERED,2.0,1
9000000311,1000000311,20250107,20250108,PICKUP,SHIPPED,1.0,2
9000000312,1000000312,20250223,20250224,PICKUP,DELIVERED,1.0,2
9000000313,1000000313,20250519,20250520,PICKUP,DELIVERED,1.0,4
9000000314,1000000314,20241016,20241019,Correo Argentino,DELIVERED,3.0,4
9000000315,1000000315,20250506,20250509,Correo Argentino,DELIVERED,3.0,1
9000000316,1000000316,20250427,20250428,PICKUP,DELIVERED,1.0,1
9000000317,1000000317,20240817,20240821,Correo Argentino,DELIVERED,4.0,1
9000000318,1000000318,20241006,20241007,PICKUP,SHIPPED,1.0,3
9000000319,1000000319,20240421,20240423,Correo Argentino,DELIVERED,2.0,1
9000000320,1000000320,20250819,20250823,Correo Argentino,DELIVERED,4.0,2
9000000321,1000000321,20250803,20250806,Correo Argentino,DELIVERED,3.0,2
9000000322,1000000322,20241120,20241121,PICKUP,DELIVERED,1.0,3
9000000323,1000000323,20250401,20250402,PICKUP,DELIVERED,1.0,1
9000000324,1000000324,20250111,20250112,PICKUP,DELIVERED,1.0,3
9000000325,1000000325,20241014,20241015,PICKUP,DELIVERED,1.0,2
9000000326,1000000326,20240617,20240622,Correo Argentino,DELIVERED,5.0,2
9000000327,1000000327,20250110,20250113,Correo Argentino,DELIVERED,3.0,4
9000000328,1000000328,20250211,20250215,Correo Argentino,DELIVERED,4.0,1
9000000329,1000000329,20240316,20240319,Correo Argentino,DELIVERED,3.0,2
9000000330,1000000330,20241214,20241215,PICKUP,DELIVERED,1.0,2
9000000331,1000000331,20241225,20241228,Correo Argentino,DELIVERED,3.0,1
9000000332,1000000332,20250918,20250921,Correo Argentino,SHIPPED,3.0,2
9000000333,1000000333,,,Correo Argentino,CANCELLED,,1
9000000334,1000000334,20250508,20250512,Correo Argentino,SHIPPED,4.0,1
9000000335,1000000335,20240211,20240215,Correo Argentino,DELIVERED,4.0,4
9000000336,1000000336,20240720,20240724,Correo Argentino,DELIVERED,4.0,2
9000000337,1000000337,20240913,20240915,Correo Argentino,DELIVERED,2.0,1
9000000338,1000000338,20240323,20240325,Correo Argentino,DELIVERED,2.0,1
9000000339,1000000339,,,Correo Argentino,CANCELLED,,4
9000000340,1000000340,20240806,20240808,Correo Argentino,DELIVERED,2.0,1
9000000341,1000000341,20241221,20241222,PICKUP,DELIVERED,1.0,2
9000000342,1000000342,20241007,20241011,Correo Argentino,DELIVERED,4.0,3
9000000343,1000000343,20240812,20240814,Correo Argentino,DELIVERED,2.0,4
9000000344,1000000344,20240724,20240726,Correo Argentino,SHIPPED,2.0,1
9000000345,1000000345,20240502,20240504,Correo Argentino,DELIVERED,2.0,1
9000000346,1000000346,20250312,20250313,PICKUP,SHIPPED,1.0,3
9000000347,1000000347,20240819,20240821,Correo Argentino,DELIVERED,2.0,1
9000000348,1000000348,20241115,20241116,PICKUP,DELIVERED,1.0,3
9000000349,1000000349,20240830,20240902,Correo Argentino,DELIVERED,3.0,4
9000000350,1000000350,20240318,20240319,PICKUP,DELIVERED,1.0,4
9000000351,1000000351,20240503,20240504,PICKUP,DELIVERED,1.0,1
9000000352,1000000352,20250217,20250222,Correo Argentino,DELIVERED,5.0,1
9000000353,1000000353,20250508,20250509,PICKUP,DELIVERED,1.0,3
9000000354,1000000354,20250510,20250515,Correo Argentino,DELIVERED,5.0,1
9000000355,1000000355,20241210,20241215,Correo Argentino,DELIVERED,5.0,1
9000000356,1000000356,20250606,20250609,Correo Argentino,DELIVERED,3.0,1
9000000357,1000000357,20240301,20240305,Correo Argentino,DELIVERED,4.0,4
9000000358,1000000358,20250709,20250711,Correo Argentino,DELIVERED,2.0,1
9000000359,1000000359,20240709,20240710,PICKUP,DELIVERED,1.0,4
9000000360,1000000360,20240923,20240924,PICKUP,DELIVERED,1.0,3
9000000361,1000000361,20250120,20250123,Correo Argentino,DELIVERED,3.0,2
9000000362,1000000362,20240815,20240819,Correo Argentino,SHIPPED,4.0,2
9000000363,1000000363,20240608,20240611,Correo Argentino,DELIVERED,3.0,1
9000000364,1000000364,20250818,20250819,PICKUP,SHIPPED,1.0,2
9000000365,1000000365,20250821,20250825,Correo Argentino,DELIVERED,4.0,2
9000000366,1000000366,20250716,20250721,Correo Argentino,DELIVERED,5.0,1
9000000367,1000000367,20250420,20250423,Correo Argentino,DELIVERED,3.0,1
9000000368,1000000368,,,Correo Argentino,CANCELLED,,2
9000000369,1000000369,20241211,20241212,PICKUP,DELIVERED,1.0,1
9000000370,1000000370,20250818,20250819,PICKUP,DELIVERED,1.0,2
